text/value/0/0/0,text/value/0/0/1,text/value/0/1/0,text/value/0/1/1,text/value/0/2/0,text/value/0/2/1,text/value/0/3/0,text/value/0/3/1,text/id,text/key
5.63885,50.803763,5.63885,50.911724,5.762897,50.911724,5.762897,50.803763,1012350800880861184,Thu Jun 28 15:03:34 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012350820912914432,Thu Jun 28 15:03:38 +0000 2018
4.387585,50.852188,4.387585,50.885985,4.426451,50.885985,4.426451,50.852188,1012350832384380928,Thu Jun 28 15:03:41 +0000 2018
5.301114,50.962799,5.301114,51.012498,5.465418,51.012498,5.465418,50.962799,1012350842127765505,Thu Jun 28 15:03:43 +0000 2018
-5.141593,41.364659,-5.141593,51.088771,9.559831,51.088771,9.559831,41.364659,1012350875698941957,Thu Jun 28 15:03:51 +0000 2018
5.002492,50.208493,5.002492,50.340485,5.261372,50.340485,5.261372,50.208493,1012350876135120896,Thu Jun 28 15:03:52 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012350882518851585,Thu Jun 28 15:03:53 +0000 2018
4.218084,51.143464,4.218084,51.377649,4.498296,51.377649,4.498296,51.143464,1012350884976775169,Thu Jun 28 15:03:54 +0000 2018
4.35578,50.847138,4.35578,50.860209,4.384889,50.860209,4.384889,50.847138,1012350944267440128,Thu Jun 28 15:04:08 +0000 2018
3.579764,50.979531,3.579764,51.187961,3.84936,51.187961,3.84936,50.979531,1012350946691764224,Thu Jun 28 15:04:08 +0000 2018
3.985409,51.129605,3.985409,51.207907,4.221639,51.207907,4.221639,51.129605,1012350961736736771,Thu Jun 28 15:04:12 +0000 2018
4.300609,50.625725,4.300609,50.734167,4.411674,50.734167,4.411674,50.625725,1012350974260891649,Thu Jun 28 15:04:15 +0000 2018
4.347341,50.800721,4.347341,50.84062,4.403387,50.84062,4.403387,50.800721,1012350983127650304,Thu Jun 28 15:04:17 +0000 2018
4.420633,50.834146,4.420633,50.902448,4.536174,50.902448,4.536174,50.834146,1012350983563771910,Thu Jun 28 15:04:17 +0000 2018
3.537894,50.720882,3.537894,50.784047,3.677458,50.784047,3.677458,50.720882,1012351026517684224,Thu Jun 28 15:04:27 +0000 2018
4.387585,50.852188,4.387585,50.885985,4.426451,50.885985,4.426451,50.852188,1012351038962241536,Thu Jun 28 15:04:30 +0000 2018
3.893221,51.252951,3.893221,51.277723,3.926931,51.277723,3.926931,51.252951,1012351043638906882,Thu Jun 28 15:04:32 +0000 2018
5.917042,51.158778,5.917042,51.259155,6.086104,51.259155,6.086104,51.158778,1012351079844114432,Thu Jun 28 15:04:40 +0000 2018
4.347678,50.352753,4.347678,50.492672,4.507618,50.492672,4.507618,50.352753,1012351081953755136,Thu Jun 28 15:04:41 +0000 2018
5.54655,51.102399,5.54655,51.184758,5.718487,51.184758,5.718487,51.102399,1012351087213514753,Thu Jun 28 15:04:42 +0000 2018
1.555009,49.969036,1.555009,51.088771,4.230801,51.088771,4.230801,49.969036,1012351164883587073,Thu Jun 28 15:05:00 +0000 2018
3.6244,50.902372,3.6244,50.956435,3.75563,50.956435,3.75563,50.902372,1012351170315280385,Thu Jun 28 15:05:02 +0000 2018
4.218084,51.143464,4.218084,51.377649,4.498296,51.377649,4.498296,51.143464,1012351170524930050,Thu Jun 28 15:05:02 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012351186450731010,Thu Jun 28 15:05:06 +0000 2018
4.218084,51.143464,4.218084,51.377649,4.498296,51.377649,4.498296,51.143464,1012351226791514112,Thu Jun 28 15:05:15 +0000 2018
4.313989,50.796328,4.313989,50.913706,4.436947,50.913706,4.436947,50.796328,1012351254188646400,Thu Jun 28 15:05:22 +0000 2018
3.016796,50.600805,3.016796,50.657143,3.126381,50.657143,3.126381,50.600805,1012351262224941056,Thu Jun 28 15:05:24 +0000 2018
3.579764,50.979531,3.579764,51.187961,3.84936,51.187961,3.84936,50.979531,1012351264183717888,Thu Jun 28 15:05:24 +0000 2018
4.218084,51.143464,4.218084,51.377649,4.498296,51.377649,4.498296,51.143464,1012351284459003912,Thu Jun 28 15:05:29 +0000 2018
1.555009,49.969036,1.555009,51.088771,4.230801,51.088771,4.230801,49.969036,1012351285495033857,Thu Jun 28 15:05:29 +0000 2018
-5.141593,41.364659,-5.141593,51.088771,9.559831,51.088771,9.559831,41.364659,1012351303530541056,Thu Jun 28 15:05:33 +0000 2018
3.200484,50.730925,3.200484,50.874597,3.359104,50.874597,3.359104,50.730925,1012351371058827264,Thu Jun 28 15:05:50 +0000 2018
5.002492,50.208493,5.002492,50.340485,5.261372,50.340485,5.261372,50.208493,1012351376511381504,Thu Jun 28 15:05:51 +0000 2018
4.774005,50.95337,4.774005,51.037652,4.93697,51.037652,4.93697,50.95337,1012351425144348675,Thu Jun 28 15:06:02 +0000 2018
-5.141593,41.364659,-5.141593,51.088771,9.559831,51.088771,9.559831,41.364659,1012351435319791617,Thu Jun 28 15:06:05 +0000 2018
4.279197,50.855311,4.279197,50.875091,4.314569,50.875091,4.314569,50.855311,1012351467729162240,Thu Jun 28 15:06:13 +0000 2018
5.895459,50.818364,5.895459,50.936387,6.026377,50.936387,6.026377,50.818364,1012351493817667584,Thu Jun 28 15:06:19 +0000 2018
3.813937,50.37928,3.813937,50.434926,3.871945,50.434926,3.871945,50.37928,1012351502592217088,Thu Jun 28 15:06:21 +0000 2018
3.172403,50.890729,3.172403,50.95434,3.243913,50.95434,3.243913,50.890729,1012351513950375941,Thu Jun 28 15:06:24 +0000 2018
-5.141593,41.364659,-5.141593,51.088771,9.559831,51.088771,9.559831,41.364659,1012351526571003906,Thu Jun 28 15:06:27 +0000 2018
5.866357,47.270127,5.866357,55.056823,15.041854,55.056823,15.041854,47.270127,1012351536645787648,Thu Jun 28 15:06:29 +0000 2018
5.002492,50.208493,5.002492,50.340485,5.261372,50.340485,5.261372,50.208493,1012351549895520256,Thu Jun 28 15:06:32 +0000 2018
5.758139,50.946493,5.758139,51.07281,5.905556,51.07281,5.905556,50.946493,1012351576550334464,Thu Jun 28 15:06:39 +0000 2018
5.895459,50.818364,5.895459,50.936387,6.026377,50.936387,6.026377,50.818364,1012351594854264832,Thu Jun 28 15:06:43 +0000 2018
4.43285,51.160951,4.43285,51.189514,4.483942,51.189514,4.483942,51.160951,1012351612713623552,Thu Jun 28 15:06:47 +0000 2018
4.420633,50.834146,4.420633,50.902448,4.536174,50.902448,4.536174,50.834146,1012351615972597762,Thu Jun 28 15:06:48 +0000 2018
-5.141593,41.364659,-5.141593,51.088771,9.559831,51.088771,9.559831,41.364659,1012351623522340865,Thu Jun 28 15:06:50 +0000 2018
2.067464,49.969036,2.067464,51.088771,4.230801,51.088771,4.230801,49.969036,1012351703079964672,Thu Jun 28 15:07:09 +0000 2018
3.579764,50.979531,3.579764,51.187961,3.84936,51.187961,3.84936,50.979531,1012351710273130496,Thu Jun 28 15:07:10 +0000 2018
4.741381,50.050505,4.741381,50.122535,4.792305,50.122535,4.792305,50.050505,1012351718296899586,Thu Jun 28 15:07:12 +0000 2018
